artist_name,genres
康然,denpa-kei
康然,anime
楊培安,mandopop
Jacob LaVallee,background piano
Pied-à-Terre,background piano
Berlioz,jazz
Oskar Schuster,compositional ambient
Julien Thorsen,background piano
Haru Kitamura,background piano
Jan Thiel,background piano
Isobel Waller-Bridge,soundtrack
Mi Soon,background piano
Thomasine Robinson,focus
Thomasine Robinson,background piano
Sufi Sheman,background piano
Kendra Logozar,neo-classical
Kendra Logozar,instrumental worship
Germain Lesage,background piano
Kyran Martin,background piano
Olivia Belli,neo-classical
Giggs,hip hop
Giggs,rap
Giggs,grime
Kevin Gates,hip hop
Kevin Gates,rap
Joyner Lucas,rap
Joyner Lucas,hip hop
Tee Grizzley,hip hop
Tee Grizzley,rap
Lil Tjay,rap
Lil Tjay,brooklyn drill
Lil Tecca,pluggnb
Lil Tecca,rap
JACKBOYS,rap
Jeremih,hip hop
Jeremih,r&b
Jeremih,rap
Jeremih,urban contemporary
Juice WRLD,rap
ZaeHD & CEO,rap
ZaeHD & CEO,hip hop
Stan Walker,nz christian
Stan Walker,pop
Stan Walker,australian talent show
Blueface,hip hop
Blueface,rap
Trippie Redd,hip hop
Trippie Redd,rap
William Singe,pop
William Singe,r&b
Aminé,rap
Aminé,hip hop
Polo G,rap
Kehlani,r&b
Kehlani,rap
Kehlani,pop
Metro Boomin,rap
YoungBoy Never Broke Again,rap
Jovem Dex,hip hop
Paty Cantú,pop
Paty Cantú,cantautora mexicana
Río Roma,latin pop
Río Roma,pop
Gloria Estefan,rock
Gloria Estefan,pop
Ximena Sariñana,latin alternative
Ximena Sariñana,pop
Ximena Sariñana,rock
Ximena Sariñana,cantautora mexicana
Barney,children's music
Barney,cartoon
Mau y Ricky,pop
Mau y Ricky,reggae
Mau y Ricky,urbano latino
24kGoldn,rap
Rebour,focus
Kari Bin,focus
Matisse,pop
Enrique Iglesias,pop
Alvaro Soler,pop
Jennifer Lopez,pop
Jennifer Lopez,urban contemporary
Deep Jandu,pop
Deep Jandu,hip hop
David Guetta,edm
David Guetta,pop
David Guetta,big room
Chimbala,rap
Chimbala,dembow
mgk,rap
mgk,hip hop
Trunk Boiz,hip hop
Trunk Boiz,hyphy
Trunk Boiz,rap
Silkk The Shocker,rap
NLE Choppa,rap
NLE Choppa,hip hop
D Smoke,hip hop
Hooligan Hefs,hip hop
Hooligan Hefs,aussie drill
Jhené Aiko,r&b
Big Sean,hip hop
Big Sean,r&b
Big Sean,rap
Kaash Paige,r&b
iann dior,rap
JayDaYoungan,hip hop
JayDaYoungan,rap
JayDaYoungan,florida drill
胡歌,mandopop
劉詩詩,chinese drama ost
MarMar Oso,r&b
Dennis Lloyd,pop
Aqua,j-poprock
Aqua,rock
Aqua,pop
Luh Kel,rap
Luh Kel,r&b
Summer Walker,rap
Summer Walker,r&b
Sebastian Yatra,pop
Sebastian Yatra,reggae
Sebastian Yatra,urbano latino
CNCO,pop
CNCO,reggae
CNCO,urbano latino
CNCO,boy band
TINI,latin pop
TINI,pop
Camilo,latin pop
Camilo,pop
Camilo,reggae
Camilo,urbano latino
Elva Hsiao,mandopop
卓文萱,mandopop
Lara Liang,mandopop
Fahrenheit,rock
Da Mouth,mandopop
Gucci Mane,hip hop
Gucci Mane,rap
NAV,hip hop
NAV,rap
88GLAM,hip hop
88GLAM,rap
Quando Rondo,hip hop
Quando Rondo,rap
Keyshia Cole,r&b
Keyshia Cole,urban contemporary
Keyshia Cole,hip pop
K CAMP,hip hop
K CAMP,rap
YNW Melly,rap
A Boogie Wit da Hoodie,hip hop
A Boogie Wit da Hoodie,rap
KDM on the Track,aussie drill
Lil Mosey,rap
Power Station,mandopop
Xian Zi,mandopop
Brandz,r&drill
Vivian Hsu,mandopop
NoCap,hip hop
NoCap,alabama rap
嚴藝丹,mandopop
Various Artists,arrocha
Various Artists,sertanejo
Various Artists,sertanejo universitario
Various Artists,agronejo
Zhao Lei,chinese minyao
Winnie Hsin,mandopop
張艾嘉,taiwan campus folk
張艾嘉,mandopop
Zhao Chuan,mandopop
林依晨,mandopop
Florian Picasso,edm
Florian Picasso,sky room
Florian Picasso,pop
Felix Jaehn,edm
Felix Jaehn,german dance
Felix Jaehn,uk dance
Felix Jaehn,pop
Kesh,r&b
Mike Hawkins,edm
Mike Hawkins,sky room
Mike Hawkins,danish electronic
Zack Martino,edm
T.I.,hip hop
T.I.,rap
will.i.am,pop
Demi Lovato,post-pop
Demi Lovato,pop
Iggy Azalea,hip hop
Iggy Azalea,pop
Avril Lavigne,pop
LMFAO,pop
LMFAO,rap
Neon Trees,indie
Neon Trees,neo mellow
Neon Trees,rock
6ix9ine,rap
Selena Gomez & The Scene,pop
Bridgit Mendler,post-pop
Bridgit Mendler,pop
Bastille,pop
Bastille,rock
Zendaya,post-pop
Zendaya,pop
The Wanted,pop
The Wanted,post-pop
The Wanted,boy band
Meghan Trainor,pop
Meghan Trainor,hip pop
fun.,neo mellow
fun.,pop
Vance Joy,rock
Vance Joy,pop
Passenger,neo mellow
Passenger,pop
Ever So Blue,background piano
A$AP Ferg,hip hop
A$AP Ferg,rap
VIZE,german dance
VIZE,edm
Kid Ink,hip hop
Kid Ink,rap
Pink Sweat$,bedroom soul
Surf Mesa,edm
Jay Samson,pop
Stephan Moccio,background piano
SXTEEN,pop
2 Chainz,hip hop
2 Chainz,rap
Major Nine,hip hop
Major Nine,rap
KYLE,hip hop
KYLE,indie
KYLE,rap
Marc E. Bassy,indie
Cash Cash,edm
Cash Cash,pop
Hp Boyz,aussie drill
Lost Kings,edm
Lost Kings,pop
Dexta Daps,riddim
Dexta Daps,dancehall
Burna Boy,dancehall
Burna Boy,hip hop
Burna Boy,pop
Burna Boy,afrobeats
Kurupt,rap
Kurupt,g funk
飛輪海,mandopop
Gyptian,hip hop
Gyptian,reggae
Gyptian,dancehall
Pia Mia,pop
Pia Mia,post-pop
Mike WiLL Made-It,hip hop
Mike WiLL Made-It,rap
瘦子E.SO,hip hop
瘦子E.SO,mandopop
瘦子E.SO,r&b
Sleazy Stereo,dutch moombahton
Kit Chan,mandopop
Kit Chan,xinyao
Sleepy Dogs,pet calming
Sleepy Times,sleep
Sleepy Times,environmental
Gunna,hip hop
Gunna,rap
August Alsina,hip hop
August Alsina,r&b
August Alsina,rap
August Alsina,urban contemporary
Tyla Yaweh,rap
Besomorph,edm
Besomorph,r&b
Besomorph,traprun
Besomorph,alt z
Lil Loaded,rap
Swae Lee,hip hop
Swae Lee,rap
Pop Smoke,hip hop
Pop Smoke,rap
Pop Smoke,brooklyn drill
Henry Smith,neo-classical
Andy Angel,piano cover
